,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
22,291.72,294.66,287.37,289.59,21787018.0,294.66,287.37,289.59,292.15,22343018.0,1.0,0.0,GOOG,XNAS,2026-03-25 00:00:00+00:00,Mar 25
17,286.049,286.515,279.05,280.74,28870381.0,286.515,279.05,280.74,286.19,29281207.0,1.0,0.0,GOOG,XNAS,2026-03-26 00:00:00+00:00,Mar 26
12,277.4,279.09,273.48,273.76,25623591.0,279.09,273.48,273.76,277.4,25703300.0,1.0,0.0,GOOG,XNAS,2026-03-27 00:00:00+00:00,Mar 27
7,275.89,276.26,271.535,273.14,21415696.0,276.26,271.535,273.14,275.44,22752315.0,1.0,0.0,GOOG,XNAS,2026-03-30 00:00:00+00:00,Mar 30
2,277.84,287.05,276.81,286.86,30680107.0,287.05,276.76,286.86,277.54,31625057.0,1.0,0.0,GOOG,XNAS,2026-03-31 00:00:00+00:00,Mar 31
108,637.16,659.94,634.5,653.56,9801700.0,659.94,634.5,653.56,637.16,9816125.0,1.0,0.0,META,ARCX,2026-03-02 00:00:00+00:00,Mar 02
103,648.29,659.04,638.84,655.08,12240600.0,659.04,638.84,655.08,648.29,12263754.0,1.0,0.0,META,ARCX,2026-03-03 00:00:00+00:00,Mar 03
98,657.96,672.75,657.6711,667.73,10709535.0,672.77,657.6711,667.73,657.96,10810054.0,1.0,0.0,META,ARCX,2026-03-04 00:00:00+00:00,Mar 04
93,662.15,670.7,650.31,660.57,13249534.0,670.7,650.31,660.57,661.93,13341367.0,1.0,0.0,META,ARCX,2026-03-05 00:00:00+00:00,Mar 05
88,647.9,649.4568,636.18,644.86,13000591.0,649.47,636.11,644.86,647.9,13159356.0,1.0,0.0,META,ARCX,2026-03-06 00:00:00+00:00,Mar 06
83,634.78,647.75,626.78,647.39,13463300.0,647.75,626.78,647.39,634.78,13489742.0,1.0,0.0,META,ARCX,2026-03-09 00:00:00+00:00,Mar 09
78,653.56,660.3,649.0,654.07,9844600.0,660.3,649.0,654.07,653.56,9859250.0,1.0,0.0,META,ARCX,2026-03-10 00:00:00+00:00,Mar 10
73,654.76,659.12,648.36,654.86,8940900.0,659.12,648.36,654.86,654.76,8977162.0,1.0,0.0,META,ARCX,2026-03-11 00:00:00+00:00,Mar 11
68,648.82,653.5,636.9,638.18,11019525.0,653.5,636.9,638.18,648.75,11617485.0,1.0,0.0,META,ARCX,2026-03-12 00:00:00+00:00,Mar 12
63,623.27,629.1699,609.55,613.71,18758294.0,629.1699,609.55,613.71,623.89,18957637.0,1.0,0.0,META,ARCX,2026-03-13 00:00:00+00:00,Mar 13
58,632.0,634.74,623.1004,627.45,14353381.0,634.75,623.1004,627.45,632.0,15134852.0,1.0,0.0,META,ARCX,2026-03-16 00:00:00+00:00,Mar 16
53,628.53,636.55,621.71,622.66,10268468.0,636.55,621.7,622.66,627.985,10348755.0,1.0,0.0,META,ARCX,2026-03-17 00:00:00+00:00,Mar 17
48,616.31,622.64,614.61,615.68,11622275.0,622.65,614.61,615.68,616.34,11726301.0,1.0,0.0,META,ARCX,2026-03-18 00:00:00+00:00,Mar 18
43,611.96,613.0,602.26,606.7,12389745.0,613.0,602.26,606.7,612.15,13247696.0,1.0,0.0,META,ARCX,2026-03-19 00:00:00+00:00,Mar 19
38,603.53,603.955,587.27,593.66,19820750.0,603.955,587.25,593.66,603.53,21214898.0,1.0,0.0,META,ARCX,2026-03-20 00:00:00+00:00,Mar 20
33,605.787,608.64,599.01,604.06,13258580.0,608.64,599.01,604.06,605.787,13637959.0,1.0,0.0,META,ARCX,2026-03-23 00:00:00+00:00,Mar 23
28,599.1,601.0,591.0,592.92,10647042.0,601.0,591.0,592.92,599.1,10739742.0,1.0,0.0,META,ARCX,2026-03-24 00:00:00+00:00,Mar 24
23,598.74,603.62,593.4,594.89,12161179.0,603.67,593.4,594.89,598.74,12585031.0,1.0,0.0,META,ARCX,2026-03-25 00:00:00+00:00,Mar 25
18,582.49,583.0,543.35,547.54,35664700.0,583.0,543.35,547.54,582.49,35780131.0,1.0,0.0,META,ARCX,2026-03-26 00:00:00+00:00,Mar 26
13,540.1,543.6,520.26,525.72,29980300.0,543.5999,520.26,525.72,540.1,30133010.0,1.0,0.0,META,ARCX,2026-03-27 00:00:00+00:00,Mar 27
8,536.38,539.55,528.54,536.38,22758800.0,539.55,528.54,536.38,536.38,22795203.0,1.0,0.0,META,ARCX,2026-03-30 00:00:00+00:00,Mar 30
3,549.98,573.69,546.77,572.13,32809500.0,573.69,546.77,572.13,549.98,32898272.0,1.0,0.0,META,ARCX,2026-03-31 00:00:00+00:00,Mar 31
109,95.33,98.07,95.25,97.09,79614084.0,98.07,95.2,97.09,95.26,79915361.0,1.0,0.0,NFLX,XNAS,2026-03-02 00:00:00+00:00,Mar 02
104,95.93,98.46,95.33,97.7,58954497.0,98.46,95.33,97.7,96.01,59149000.0,1.0,0.0,NFLX,XNAS,2026-03-03 00:00:00+00:00,Mar 03
